매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47531163,100,22,2,35.8405315896811,128.754089246444,경상북도 경산시 조영동,486,137,57,272,1873,154,63
47529889,150,26,1,35.8399191547018,128.75240564293,경상북도 경산시 조영동,407,137,117,304,1707,57,183
47529877,150,27,2,35.8399191547025,128.75240564293,경상북도 경산시 조영동,407,137,117,304,1707,57,183
47529816,200,30,3,35.8388276039833,128.754715952571,경상북도 경산시 조영동,329,61,63,74,1849,117,219
47529693,200,32,3,35.8388614533287,128.753619644237,경상북도 경산시 조영동,295,38,27,147,1758,27,208
47529487,200,35,2,35.8373416662741,128.751157397615,경상북도 경산시 대동,194,305,12,203,1491,113,241
47529417,100,30,3,35.8383920013254,128.750836975363,경상북도 경산시 대동,297,268,89,284,1507,51,309
47529403,200,32,2,35.8396628321723,128.752390043449,경상북도 경산시 조영동,379,124,109,289,1693,32,205
47529090,200,29,3,35.837971403456,128.758915493752,경상북도 경산시 조영동,578,422,30,174,2181,101,231
47529038,100,25,4,35.8425461374421,128.758576814559,경상북도 경산시 압량읍 부적리,867,96,191,261,2335,95,138
47528023,200,40,2,35.8369375397417,128.752292685289,경상북도 경산시 대동,89,280,51,93,1575,108,136
47524995,200,27,2,35.8396585497466,128.756435134109,경상북도 경산시 조영동,495,173,54,74,2027,54,166
47520320,200,30,2,35.8405597781913,128.755774494495,경상북도 경산시 조영동,544,132,2,157,2011,34,176
47520052,300,45,2,35.8392882215578,128.756432833482,경상북도 경산시 조영동,465,170,14,92,2012,14,188
47518681,200,34,4,35.8407644449356,128.756654522964,경상북도 경산시 조영동,605,167,62,119,2093,75,140
47516733,200,30,3,35.8385159458577,128.752589467889,경상북도 경산시 대동,250,122,43,184,1658,15,201
47515701,150,30,1,35.8388113370622,128.754342753277,경상북도 경산시 조영동,312,64,54,92,1817,85,207
47515640,200,30,2,35.8405402920606,128.753542504211,경상북도 경산시 조영동,478,149,93,292,1829,127,65
47513964,200,35,3,35.8369375397417,128.752292685289,경상북도 경산시 대동,89,280,51,93,1575,108,136
47511427,200,25,1,35.8385426361364,128.750969103647,경상북도 경산시 대동,304,252,87,285,1524,70,307
47511179,150,28,3,35.8391053339633,128.754777404951,경상북도 경산시 조영동,359,35,85,102,1865,107,233
47510936,100,25,3,35.8375630338451,128.759301887421,경상북도 경산시 조영동,598,472,57,231,2204,118,278
47510839,200,35,2,35.8391661800249,128.754954929831,경상북도 경산시 조영동,373,42,86,106,1883,91,233
47510586,200,37,2,35.8391053565248,128.751156772356,경상북도 경산시 대동,350,224,126,319,1566,97,327
47510396,200,35,4,35.8426857229954,128.759444477589,경상북도 경산시 압량읍 부적리,928,32,161,249,2412,94,59
47509056,200,28,3,35.8400713261704,128.759110051194,경상북도 경산시 압량읍 부적리,704,268,78,75,2268,71,16
47508463,100,28,3,35.8401817579736,128.757037981394,경상북도 경산시 조영동,575,235,14,46,2099,82,97
47508409,200,27,1,35.8400917746221,128.759578193488,경상북도 경산시 압량읍 부적리,740,261,42,116,2309,83,58
47508003,100,27,3,35.8379795561601,128.758420107383,경상북도 경산시 조영동,536,381,73,155,2138,137,235
47507096,100,20,1,35.8379810484756,128.753082894221,경상북도 경산시 대동,191,145,37,110,1678,68,127
47506636,100,25,4,35.838713082922176,128.75153482277014,경상북도 경산시 대동,296,197,73,265,1578,77,279
47506149,70,18,2,35.8376695213169,128.751371994115,경상북도 경산시 대동,205,266,52,199,1522,81,231
47505834,200,30,3,35.8393880693448,128.752823133119,경상북도 경산시 조영동,346,76,69,239,1715,62,209
47505697,200,27,1,35.8399592628338,128.753424133811,경상북도 경산시 조영동,413,86,56,243,1791,100,129
47505686,100,25,3,35.8392551954616,128.753653877076,경상북도 경산시 조영동,339,6,11,171,1778,28,202
47504791,200,36,2,35.83688911542993,128.75228265621152,경상북도 경산시 대동,86,285,49,94,1573,109,137
47503335,200,30,2,35.8392217870554,128.759495008596,경상북도 경산시 압량읍 부적리,682,358,130,140,2270,39,105
47503243,70,18,2,35.8376689792033,128.751372092862,경상북도 경산시 대동,205,266,52,199,1522,81,231
47502402,100,30,3,35.8383798984346,128.754983091078,경상북도 경산시 조영동,302,115,20,19,1855,144,179
47501403,50,16,2,35.8415993935705,128.751756665469,경상북도 경산시 임당동,600,305,186,479,1750,83,198
47501399,100,23,2,35.8428437694685,128.754380220341,경상북도 경산시 조영동,743,152,177,425,2023,152,193
47501390,50,16,2,35.8406460070974,128.755059692022,경상북도 경산시 조영동,525,109,58,218,1957,74,113
47501387,200,30,2,35.840881748899,128.753960832477,경상북도 경산시 조영동,522,135,97,312,1880,135,23
47501384,200,30,2,35.8396628321723,128.752390043449,경상북도 경산시 조영동,379,124,109,289,1693,32,205
47497621,100,30,3,35.8393289124989,128.752541949718,경상북도 경산시 조영동,341,100,80,258,1689,39,227
47496969,100,20,1,35.8428325198086,128.753811441547,경상북도 경산시 조영동,734,180,227,457,1980,119,188
47493840,100,24,1,35.838989834665,128.752936215772,경상북도 경산시 조영동,302,68,32,209,1707,47,235
47492439,200,30,1,35.8386598910617,128.753933155839,경상북도 경산시 조영동,282,66,44,112,1776,62,185
47492149,100,31,3,35.8383798984346,128.754983091078,경상북도 경산시 조영동,302,115,20,19,1855,144,179
47490822,100,30,3,35.8378143531169,128.751506539883,경상북도 경산시 대동,210,247,37,197,1538,62,226
47488875,500,36,3,35.8415726717679,128.757627336635,경상북도 경산시 압량읍 부적리,729,205,117,164,2210,31,122
47488063,200,30,3,35.8422696486298,128.758855470916,경상북도 경산시 압량읍 부적리,858,73,151,235,2344,104,119
47487591,200,38,3,35.837686182582,128.75208339349,경상북도 경산시 대동,172,219,53,147,1583,52,173
47484916,100,30,2,35.8393289124989,128.752541949718,경상북도 경산시 조영동,341,100,80,258,1689,39,227
47484915,100,30,2,35.8393289124989,128.752541949718,경상북도 경산시 조영동,341,100,80,258,1689,39,227
47484911,100,21,1,35.8408589934819,128.753735669256,경상북도 경산시 조영동,516,153,105,317,1861,133,26
47484909,200,27,2,35.8429280801082,128.755610114606,경상북도 경산시 조영동,780,151,76,377,2122,140,248
47484908,200,28,3,35.8401294702457,128.752455534076,경상북도 경산시 조영동,430,148,125,316,1721,80,164
47484905,100,26,2,35.8379810484756,128.753082894221,경상북도 경산시 대동,191,145,37,110,1678,68,127
