법정동,건축년도,전용면적,보증금,월세,계약일,노후도
조영동,2012,27.0,150,30,2025-1-4,14
조영동,2007,20.0,100,22,2025-1-5,19
압량읍 부적리,2016,31.5,200,30,2025-1-11,10
조영동,2012,18.15,150,25,2025-1-15,14
대동,2013,27.0,200,30,2025-1-14,13
조영동,2002,20.0,100,22,2025-1-14,24
임당동,2004,23.1,100,20,2025-1-13,22
대동,2011,25.0,100,30,2025-1-7,15
조영동,2006,20.0,100,25,2025-1-13,20
압량읍 부적리,2002,38.0,200,30,2025-1-8,24
대동,2012,25.0,200,30,2025-1-12,14
압량읍 부적리,2014,23.14,100,20,2025-1-8,12
대동,2013,20.0,200,30,2025-1-8,13
압량읍 부적리,2015,25.5,200,30,2025-1-7,11
조영동,2012,21.0,5000,0,2025-1-7,14
압량읍 부적리,2013,50.0,300,30,2025-1-3,13
임당동,2004,30.0,200,30,2025-1-6,22
조영동,2011,23.14,100,25,2025-1-3,15
대동,2011,50.45,5500,0,2024-12-18,15
대동,2011,25.0,5000,0,2024-12-16,15
대동,2011,47.07,5250,0,2024-12-16,15
조영동,2012,30.0,200,30,2024-12-12,14
임당동,2000,25.0,100,22,2024-12-20,26
압량읍 부적리,2014,56.1,500,45,2024-12-14,12
대동,2011,20.0,50,31,2024-12-23,15
조영동,1999,20.0,100,25,2024-12-28,27
임당동,2018,20.0,100,22,2024-12-25,8
조영동,1999,20.0,150,27,2024-12-24,27
