건물명,주소,주용도,세대수,사용승인일,법정동,lat,lon,노후도
 ,경상북도 경산시 둥지로 21 (조영동),제2종근린생활시설,0,20020719,조영동,35.8403403564239,128.754559257153,24
 ,경상북도 경산시 둥지로 22 (조영동),단독주택,0,20030215,조영동,35.8404614454599,128.75477053828,23
이루다,경상북도 경산시 대학로61길 24-16 (조영동),단독주택,0,20020409,조영동,35.8402511946865,128.754432457177,24
 ,경상북도 경산시 대학로61길 22-1 (조영동),제1종근린생활시설,0,20040402,조영동,35.8396874300796,128.753668594646,22
 ,경상북도 경산시 대학로61길 24-2 (조영동),단독주택,0,20021227,조영동,35.8397407147033,128.75383333722,24
 ,경상북도 경산시 대학로61길 22 (조영동),제2종근린생활시설,0,20070115,조영동,35.8396359619501,128.753694243476,19
 ,경상북도 경산시 대학로61길 24-4 (조영동),제1종근린생활시설,0,20000404,조영동,35.8398744230497,128.753939536047,26
 ,경상북도 경산시 대학로61길 24-8 (조영동),단독주택,0,20060503,조영동,35.8399433499848,128.7541253189,20
 ,경상북도 경산시 청운1로 41-4 (조영동),단독주택,0,20131224,조영동,35.8399274354266,128.754314213603,13
 ,경상북도 경산시 청운1로 43-1 (조영동),단독주택,0,20131224,조영동,35.8399306427526,128.754421633848,13
스윗트홈,경상북도 경산시 청운1로 43 (조영동),단독주택,0,20130917,조영동,35.8397727583892,128.754397461104,13
 ,경상북도 경산시 청운1로 41-1 (조영동),단독주택,0,20051228,조영동,35.8397476646558,128.754147348804,21
 ,경상북도 경산시 대학로61길 24-6 (조영동),단독주택,0,20051214,조영동,35.8397457858091,128.753985951377,21
 ,경상북도 경산시 대학로61길 12-3 (조영동),제2종근린생활시설,0,20160906,조영동,35.8392465240441,128.75452553458,10
 ,경상북도 경산시 대학로61길 12-3 (조영동),제2종근린생활시설,0,19920121,조영동,35.8392465240441,128.75452553458,34
 ,경상북도 경산시 대학로61길 12-3 (조영동),제2종근린생활시설,0,20050531,조영동,35.8392465240441,128.75452553458,21
 ,경상북도 경산시 청운1로 37 (조영동),제1종근린생활시설,0,20060626,조영동,35.8395104164255,128.753991835388,20
 ,경상북도 경산시 대학로61길 12 (조영동),제2종근린생활시설,0,20220630,조영동,35.8389471348598,128.754546496462,4
 ,경상북도 경산시 대학로 303-2 (조영동),제2종근린생활시설,0,20190813,조영동,35.8379320844873,128.754548153428,7
 ,경상북도 경산시 대학로 299 (조영동),제2종근린생활시설,0,19810605,조영동,35.8376673864728,128.754476697966,45
 ,경상북도 경산시 청운로 34 (조영동),제1종근린생활시설,0,19991005,조영동,35.8380835633941,128.754443257467,27
 ,경상북도 경산시 대학로61길 5-4 (조영동),단독주택,0,20090423,조영동,35.8381960052813,128.754771538455,17
 ,경상북도 경산시 대학로 303-4 (조영동),단독주택,19,19971202,조영동,35.8378406741277,128.754414889218,29
 ,경상북도 경산시 대학로 303-3 (조영동),단독주택,13,19971015,조영동,35.8377553397763,128.754328349794,29
근린생활시설,경상북도 경산시 대학로59길 6 (조영동),제2종근린생활시설,0,19970515,조영동,35.8378018580983,128.754092436784,29
 ,경상북도 경산시 대학로59길 2 (조영동),제2종근린생활시설,1,19951021,조영동,35.8376236213145,128.754252519738,31
 ,경상북도 경산시 대학로59길 5 (조영동),제2종근린생활시설,0,20020611,조영동,35.8376212974192,128.753862369182,24
 ,경상북도 경산시 대학로59길 7 (조영동),제2종근린생활시설,0,20020219,조영동,35.8378084120751,128.753668174102,24
 ,경상북도 경산시 청운로 30 (조영동),제2종근린생활시설,0,20141124,조영동,35.8379255199456,128.754232497484,12
 ,경상북도 경산시 청운로 30 (조영동),제2종근린생활시설,0,19980205,조영동,35.8379255199456,128.754232497484,28
다성빌딩,경상북도 경산시 대학로61길 5-8 (조영동),제2종근린생활시설,0,20220421,조영동,35.8380191541394,128.754713305102,4
 ,경상북도 경산시 대학로61길 5-6 (조영동),단독주택,0,20090423,조영동,35.8381142588135,128.754729344149,17
 ,경상북도 경산시 청운로 38 (조영동),제2종근린생활시설,0,20180305,조영동,35.8383256102657,128.754813127145,8
 ,경상북도 경산시 대학로 303 (조영동),단독주택,0,19870727,조영동,35.8378990430284,128.75482376082,39
 ,경상북도 경산시 대학로 309 (조영동),제2종근린생활시설,0,20040129,조영동,35.8382156814762,128.755046980146,22
 ,경상북도 경산시 대학로 307 (조영동),단독주택,0,19891004,조영동,35.8380882616707,128.754973013819,37
 ,경상북도 경산시 대학로 305 (조영동),단독주택,0,19891019,조영동,35.8379967333843,128.754903379787,37
 ,경상북도 경산시 대학로 315 (조영동),제2종근린생활시설,0,19960925,조영동,35.8385683653099,128.755615504378,30
 ,경상북도 경산시 대학로 315 (조영동),제2종근린생활시설,0,19880804,조영동,35.8385683653099,128.755615504378,38
