매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),지하철역_도보(분),노후도
47570927,200,34,2,35.8382642382997,128.750483351361,경상북도 경산시 대동,308,303,116,302,1472,18,330,4,11
47570277,200,25,3,35.840345544790175,128.755758483703,경상북도 경산시 조영동,523,153,23,146,2000,58,184,7,15
47569577,100,25,1,35.8413301146988,128.751826221106,경상북도 경산시 임당동,570,287,209,452,1739,55,185,7,25
47569529,70,16,1,35.8411134757347,128.752141960586,경상북도 경산시 임당동,542,252,224,415,1750,18,155,7,26
47569048,100,20,2,35.839984278048,128.752821423437,경상북도 경산시 조영동,412,114,89,281,1744,85,152,5,27
47569015,200,28,3,35.8388961375337,128.754243691486,경상북도 경산시 조영동,317,58,42,105,1812,73,215,4,27
47567041,300,31,3,35.841507849885105,128.7583561188615,경상북도 경산시 압량읍 부적리,764,155,92,145,2267,36,60,10,14
47566397,100,20,3,35.8385547521831,128.7537958261,경상북도 경산시 조영동,267,74,55,119,1761,64,173,3,25
47558994,100,20,4,35.8398577816398,128.756361616046,경상북도 경산시 조영동,508,172,65,79,2029,63,164,6,13
47557637,200,25,2,35.8402433794735,128.756656975568,경상북도 경산시 조영동,558,206,23,72,2070,101,130,7,14
47557618,200,28,2,35.8401738381707,128.756716863726,경상북도 경산시 조영동,556,215,19,63,2072,102,125,7,13
47556577,100,30,3,35.8383798984353,128.754983091078,경상북도 경산시 조영동,302,115,20,19,1855,144,179,4,19
47556456,100,29,3,35.8390759800663,128.753461241684,경상북도 경산시 조영동,316,21,32,172,1754,2,224,4,24
47556406,70,21,3,35.8408015099694,128.75388325596,경상북도 경산시 조영동,512,146,92,306,1870,145,30,6,25
47556374,200,31,2,35.8388614533287,128.753619644237,경상북도 경산시 조영동,295,38,27,147,1758,27,208,4,25
47556174,200,28,3,35.8379810484763,128.753082894221,경상북도 경산시 대동,191,145,37,110,1678,68,127,2,26
47555952,200,27,1,35.8430103122189,128.753706453475,경상북도 경산시 조영동,753,201,240,478,1983,132,209,9,25
47555786,100,24,2,35.8374737169342,128.75181633051,경상북도 경산시 대동,163,253,67,153,1552,79,186,2,18
47555682,100,29,3,35.8431335643338,128.752658205491,경상북도 경산시 임당동,763,279,248,555,1913,139,245,10,25
47555652,500,46,4,35.8400068316197,128.756577056597,경상북도 경산시 조영동,533,196,40,64,2053,87,141,7,20
47555225,150,27,2,35.838369958887,128.757900399051,경상북도 경산시 조영동,511,321,123,106,2105,163,209,6,14
47555072,200,37,2,35.8398192414947,128.755083308001,경상북도 경산시 조영동,442,70,46,178,1921,54,177,6,12
47554534,100,27,2,35.8377223548954,128.759012471786,경상북도 경산시 조영동,578,441,43,202,2183,115,259,7,19
47553448,300,28,3,35.8425863621595,128.758937612332,경상북도 경산시 압량읍 부적리,890,65,174,271,2366,97,106,11,9
47552062,200,30,2,35.838827603984,128.754715952571,경상북도 경산시 조영동,329,61,63,74,1849,117,219,4,11
47550905,200,30,3,35.8397077526845,128.758775657962,경상북도 경산시 압량읍 부적리,656,314,116,70,2226,46,40,8,10
47549630,100,22,1,35.8402118161182,128.752561707738,경상북도 경산시 조영동,438,148,123,315,1734,89,151,5,24
47549165,100,30,2,35.8391409857955,128.752495428901,경상북도 경산시 조영동,320,103,66,248,1677,48,247,4,24
47549026,100,30,2,35.8382991950801,128.754091989617,경상북도 경산시 조영동,251,109,43,87,1776,102,147,3,28
47548992,150,23,1,35.8401962786315,128.752786690186,경상북도 경산시 조영동,436,134,107,300,1751,99,137,5,26
47548901,200,25,2,35.8391162251672,128.751771111457,경상북도 경산시 대동,331,169,116,282,1616,50,287,4,17
47548813,200,25,4,35.8387121922086,128.751521744344,경상북도 경산시 대동,296,199,74,265,1577,78,280,4,14
